ngram,Ferguson,Fergson
1892,5.623153161390551e-06,1.2797237872571746e-10
1893,5.602249789912353e-06,1.7409572593076105e-10
1894,5.5862534671697565e-06,1.7409572593076105e-10
1895,5.5089388817058146e-06,2.5878055650733044e-10
1896,5.505561927878132e-06,3.876530683756739e-10
1897,5.3948197741452276e-06,3.5563844329773124e-10
1898,5.488481877234465e-06,3.044283396797758e-10
1899,5.529755916151251e-06,3.2264224625322413e-10
1900,5.49561790259239e-06,3.30730712657815e-10
1901,5.3961808979303375e-06,3.30730712657815e-10
1902,5.376857513640841e-06,4.3544707522309116e-10
1903,5.4553579502680805e-06,3.122819582289184e-10
1904,5.560426611087418e-06,6.266337448934678e-10
1905,5.568764468729828e-06,1.0230521667915176e-09
1906,5.575702549062303e-06,1.0048382602180693e-09
1907,5.678531839034154e-06,9.652766205395631e-10
1908,5.775014155265776e-06,9.927255287652974e-10
1909,5.779198935280354e-06,8.033243356234518e-10
1910,5.8903835581856716e-06,8.127677142422129e-10
1911,5.886491050789898e-06,4.798391723641921e-10
1912,6.035936751556749e-06,8.342075046614233e-11
1913,6.1073639829243935e-06,1.5491034249010786e-10
1914,6.275838586589089e-06,1.9872612682420813e-10
1915,6.419198728378563e-06,2.1909338629047933e-10
1916,6.683095892055592e-06,2.341452488246227e-10
1917,6.725755351258808e-06,2.9058372176736317e-10
1918,6.764295449102065e-06,3.049639608303829e-10
1919,6.676057767305922e-06,3.7599269134666203e-10
1920,6.724723399591832e-06,3.045030993226965e-10
1921,6.579432075730958e-06,2.4603714105746784e-10
1922,6.499495611933526e-06,1.9822097336546259e-10
1923,6.389157403776023e-06,2.0772255542628974e-10
1924,6.298315318937446e-06,1.832270069795123e-10
1925,6.3950752909087375e-06,1.6884676791649256e-10
1926,6.440955270850931e-06,9.781803740021339e-11
1927,6.397445953812816e-06,9.781803740021339e-11
1928,6.52327480565873e-06,2.118654676300632e-10
1929,6.454159704714714e-06,2.118654676300632e-10
1930,6.3685142777103465e-06,2.9622159487224005e-10
1931,6.606468169983211e-06,2.7542302169106646e-10
1932,6.588126000549112e-06,2.7542302169106646e-10
1933,6.5030436157290495e-06,5.302617749653698e-10
1934,6.551444000381577e-06,7.100047732284359e-10
1935,6.465688784373924e-06,6.626243403180204e-10
1936,6.464765062576459e-06,7.044992050048953e-10
1937,6.411691369326686e-06,6.404744671125887e-10
1938,7.1830664377817555e-06,6.750174506654969e-10
1939,7.119606380001642e-06,7.248055013318679e-10
1940,7.592262720988531e-06,4.699667480575645e-10
1941,8.270550032258533e-06,3.1780232017426206e-10
1942,9.973271387155234e-06,4.0058360200363145e-10
1943,1.1768491666381514e-05,6.590552786051823e-10
1944,1.3416055220919329e-05,8.987402726796339e-10
1945,1.3374519897167505e-05,8.49270110585871e-10
1946,1.3737386455302061e-05,8.491263723899221e-10
1947,1.3594010982030471e-05,8.656833484182209e-10
1948,1.3915492672822438e-05,8.381047780384573e-10
1949,1.2857997977075034e-05,7.566811482950797e-10
1950,1.1770661980595573e-05,4.56334607006654e-10
1951,1.0581661367073788e-05,2.0486297578971501e-10
1952,9.642481148018436e-06,1.6732413470650036e-10
1953,9.246684580180694e-06,1.490582954685341e-10
1954,8.951824708804321e-06,1.7604918713308238e-10
1955,7.901932089485594e-06,2.0503769119059204e-10
1956,7.1670484820580375e-06,2.1782107665188225e-10
1957,6.411444896262505e-06,3.5800205458854807e-10
1958,5.917045460332052e-06,3.844128983386343e-10
1959,5.766735999454145e-06,4.295886543318314e-10
1960,5.64976991362138e-06,4.193859029896377e-10
1961,5.524322334947231e-06,4.208603108869978e-10
1962,5.472052440122102e-06,3.918718068294881e-10
