ngram,SAP,SAP,SP,SP
1803,6.19817180437719e-08,6.19817180437719e-08,8.11597897966619e-07,8.11597897966619e-07
1804,6.803758014127328e-08,6.803758014127328e-08,7.786942108266106e-07,7.786942108266106e-07
1805,5.8505036244176674e-08,5.8505036244176674e-08,4.423941634610985e-07,4.423941634610985e-07
1806,5.810931469341085e-08,5.810931469341085e-08,4.223314249429677e-07,4.223314249429677e-07
1807,6.22133105667087e-08,6.22133105667087e-08,3.670953349553331e-07,3.670953349553331e-07
1808,5.853051656044629e-08,5.853051656044629e-08,3.8320403713701777e-07,3.8320403713701777e-07
1809,4.7027315882733744e-08,4.7027315882733744e-08,3.67944742103126e-07,3.67944742103126e-07
1810,5.2574323561316305e-08,5.2574323561316305e-08,3.6580590290213877e-07,3.6580590290213877e-07
1811,4.8742134138381384e-08,4.8742134138381384e-08,4.184745746117967e-07,4.184745746117967e-07
1812,4.691146874133015e-08,4.691146874133015e-08,4.016938025383102e-07,4.016938025383102e-07
1813,4.3745900870005375e-08,4.3745900870005375e-08,4.262803839440364e-07,4.262803839440364e-07
1814,3.5163620840502774e-08,3.5163620840502774e-08,5.132777991840547e-07,5.132777991840547e-07
1815,4.014933604626744e-08,4.014933604626744e-08,4.974831284698666e-07,4.974831284698666e-07
1816,4.499091841937895e-08,4.499091841937895e-08,6.540778148941431e-07,6.540778148941431e-07
1817,3.949899099861146e-08,3.949899099861146e-08,6.35056143291227e-07,6.35056143291227e-07
1818,4.121420614313008e-08,4.121420614313008e-08,6.027313129866993e-07,6.027313129866993e-07
1819,4.577616837967266e-08,4.577616837967266e-08,6.268937917346713e-07,6.268937917346713e-07
1820,4.593817922885332e-08,4.593817922885332e-08,6.102325715216596e-07,6.102325715216596e-07
1821,4.9922441799513506e-08,4.9922441799513506e-08,4.376907664241766e-07,4.376907664241766e-07
1822,4.5452779318111425e-08,4.5452779318111425e-08,4.226609421818596e-07,4.226609421818596e-07
1823,3.7571319515856364e-08,3.7571319515856364e-08,2.611663368108046e-07,2.611663368108046e-07
1824,4.0917680926051096e-08,4.0917680926051096e-08,2.593003358697388e-07,2.593003358697388e-07
1825,3.94016243124692e-08,3.94016243124692e-08,2.3289075353919282e-07,2.3289075353919282e-07
1826,3.7898363558497294e-08,3.7898363558497294e-08,2.107208761767002e-07,2.107208761767002e-07
1827,3.769711552438691e-08,3.769711552438691e-08,1.9096818602650144e-07,1.9096818602650144e-07
1828,3.268643819101921e-08,3.268643819101921e-08,2.0274911654334054e-07,2.0274911654334054e-07
1829,3.2416901924697024e-08,3.2416901924697024e-08,3.6239302403373586e-07,3.6239302403373586e-07
1830,3.3936520895037706e-08,3.3936520895037706e-08,3.9347434770726455e-07,3.9347434770726455e-07
1831,2.8686603568774316e-08,2.8686603568774316e-08,4.003078909623322e-07,4.003078909623322e-07
1832,2.6097909864932134e-08,2.6097909864932134e-08,3.9869373072828497e-07,3.9869373072828497e-07
