ngram,Marsh,Marsh,Mrsh,Mrsh
1868,6.874289218623224e-06,6.874289218623224e-06,9.190681945650932e-11,9.190681945650932e-11
1869,6.9944266475171645e-06,6.9944266475171645e-06,9.190681945650932e-11,9.190681945650932e-11
1870,7.1952184563477724e-06,7.1952184563477724e-06,1.3414327981742247e-10,1.3414327981742247e-10
1871,7.306066306357804e-06,7.306066306357804e-06,8.704815836400672e-11,8.704815836400672e-11
1872,7.447741739140058e-06,7.447741739140058e-06,8.704815836400672e-11,8.704815836400672e-11
1873,7.617909107336475e-06,7.617909107336475e-06,8.704815836400672e-11,8.704815836400672e-11
1874,7.975163043738576e-06,7.975163043738576e-06,1.267888730513026e-10,1.267888730513026e-10
1875,8.454608177999035e-06,8.454608177999035e-06,1.2209220539333947e-10,1.2209220539333947e-10
1876,8.95314854330666e-06,8.95314854330666e-06,1.2209220539333947e-10,1.2209220539333947e-10
1877,9.121467038702186e-06,9.121467038702186e-06,2.1966243506683318e-10,2.1966243506683318e-10
1878,9.229183693345736e-06,9.229183693345736e-06,2.1966243506683318e-10,2.1966243506683318e-10
1879,9.213872674860926e-06,9.213872674860926e-06,3.2440387281213694e-10,3.2440387281213694e-10
1880,8.996655456680206e-06,8.996655456680206e-06,4.230639211970961e-10,4.230639211970961e-10
1881,8.852021437633084e-06,8.852021437633084e-06,4.464543972610662e-10,4.464543972610662e-10
1882,8.49211502489717e-06,8.49211502489717e-06,5.035680999172192e-10,5.035680999172192e-10
1883,8.256111803867888e-06,8.256111803867888e-06,5.035680999172192e-10,5.035680999172192e-10
1884,8.084840568959148e-06,8.084840568959148e-06,3.6376140988281236e-10,3.6376140988281236e-10
1885,8.03577112102565e-06,8.03577112102565e-06,3.6376140988281236e-10,3.6376140988281236e-10
1886,8.180796677541885e-06,8.180796677541885e-06,2.590199721375086e-10,2.590199721375086e-10
1887,8.045089933667831e-06,8.045089933667831e-06,1.879938922787007e-10,1.879938922787007e-10
1888,8.062244238057506e-06,8.062244238057506e-06,1.518655439498267e-10,1.518655439498267e-10
