ngram,BYD,BYD,BY,BY
1790,2.326769634107352e-09,2.326769634107352e-09,1.664495682364629e-05,1.664495682364629e-05
1791,2.326769634107352e-09,2.326769634107352e-09,1.789084373220768e-05,1.789084373220768e-05
1792,2.326769634107352e-09,2.326769634107352e-09,1.935225840757734e-05,1.935225840757734e-05
1793,2.326769634107352e-09,2.326769634107352e-09,2.101739145083619e-05,2.101739145083619e-05
1794,2.326769634107352e-09,2.326769634107352e-09,2.1123804669644285e-05,2.1123804669644285e-05
1795,2.326769634107352e-09,2.326769634107352e-09,2.143335638850528e-05,2.143335638850528e-05
1796,0.0,0.0,2.2138045876220402e-05,2.2138045876220402e-05
1797,0.0,0.0,2.262135525857697e-05,2.262135525857697e-05
1798,0.0,0.0,2.3423911833171068e-05,2.3423911833171068e-05
1799,0.0,0.0,2.3465035285750802e-05,2.3465035285750802e-05
1800,0.0,0.0,2.123427371511103e-05,2.123427371511103e-05
1801,0.0,0.0,2.1978971874757137e-05,2.1978971874757137e-05
1802,4.341267980022069e-10,4.341267980022069e-10,2.261266100893928e-05,2.261266100893928e-05
1803,7.851267572586299e-10,7.851267572586299e-10,2.2849940640818594e-05,2.2849940640818594e-05
1804,7.851267572586299e-10,7.851267572586299e-10,2.2718284266634976e-05,2.2718284266634976e-05
1805,7.851267572586299e-10,7.851267572586299e-10,2.2739645178912076e-05,2.2739645178912076e-05
1806,7.851267572586299e-10,7.851267572586299e-10,2.202907827657847e-05,2.202907827657847e-05
1807,7.851267572586299e-10,7.851267572586299e-10,2.2219285580961567e-05,2.2219285580961567e-05
1808,1.0204899465143009e-09,1.0204899465143009e-09,2.136530539636234e-05,2.136530539636234e-05
1809,5.86363148512094e-10,5.86363148512094e-10,2.0354754529502577e-05,2.0354754529502577e-05
1810,2.35363189255671e-10,2.35363189255671e-10,1.95413921184289e-05,1.95413921184289e-05
1811,2.35363189255671e-10,2.35363189255671e-10,1.9437059303787203e-05,1.9437059303787203e-05
1812,7.127797082720885e-10,7.127797082720885e-10,1.8814530449162703e-05,1.8814530449162703e-05
1813,1.1007385162084153e-09,1.1007385162084153e-09,1.8693941586077146e-05,1.8693941586077146e-05
1814,1.518654789224781e-09,1.518654789224781e-09,1.8463756012871662e-05,1.8463756012871662e-05
1815,1.28329159996911e-09,1.28329159996911e-09,1.8786035980156157e-05,1.8786035980156157e-05
1816,1.8538097723563851e-09,1.8538097723563851e-09,1.9452676497166976e-05,1.9452676497166976e-05
1817,2.3678524855138707e-09,2.3678524855138707e-09,1.9712977518793195e-05,1.9712977518793195e-05
1818,2.7259222181084753e-09,2.7259222181084753e-09,1.985018908661524e-05,1.985018908661524e-05
1819,2.248505699092058e-09,2.248505699092058e-09,1.982244767922176e-05,1.982244767922176e-05
1820,2.007943827082264e-09,2.007943827082264e-09,2.0362295150074976e-05,2.0362295150074976e-05
1821,1.5900275540658981e-09,1.5900275540658981e-09,2.0798336273791002e-05,2.0798336273791002e-05
1822,1.9643342666749876e-09,1.9643342666749876e-09,2.0928176257127363e-05,2.0928176257127363e-05
1823,1.3938160942877126e-09,1.3938160942877126e-09,2.1707502777904404e-05,2.1707502777904404e-05
1824,8.797733811302269e-10,8.797733811302269e-10,2.2125799919844473e-05,2.2125799919844473e-05
1825,6.48320452878437e-10,6.48320452878437e-10,2.251473545454376e-05,2.251473545454376e-05
1826,6.48320452878437e-10,6.48320452878437e-10,2.2949900345078538e-05,2.2949900345078538e-05
1827,6.054941230943761e-10,6.054941230943761e-10,2.3623145482685815e-05,2.3623145482685815e-05
