ngram,Procter,Procter,Proter,Proter
1930,1.1754418015438465e-06,1.1754418015438465e-06,1.0254247847666216e-09,1.0254247847666216e-09
1931,1.1704554156364923e-06,1.1704554156364923e-06,1.1656472295332572e-09,1.1656472295332572e-09
1932,1.23736299428856e-06,1.23736299428856e-06,1.5950540888098885e-09,1.5950540888098885e-09
1933,1.2049265641118318e-06,1.2049265641118318e-06,1.5265293949541713e-09,1.5265293949541713e-09
1934,1.1568220575749625e-06,1.1568220575749625e-06,1.659713620507018e-09,1.659713620507018e-09
1935,1.0999809286918856e-06,1.0999809286918856e-06,1.6801744915996763e-09,1.6801744915996763e-09
1936,1.076530127517929e-06,1.076530127517929e-06,1.5276553197044303e-09,1.5276553197044303e-09
1937,1.0554373537680867e-06,1.0554373537680867e-06,1.404390825854307e-09,1.404390825854307e-09
1938,1.0392950490053669e-06,1.0392950490053669e-06,1.2508219856702647e-09,1.2508219856702647e-09
1939,9.764072582843904e-07,9.764072582843904e-07,7.829601808165673e-10,7.829601808165673e-10
1940,9.69392268806197e-07,9.69392268806197e-07,9.145525923871998e-10,9.145525923871998e-10
1941,9.910258264816157e-07,9.910258264816157e-07,7.000952436822924e-10,7.000952436822924e-10
1942,1.0600510011369937e-06,1.0600510011369937e-06,7.108380947354728e-10,7.108380947354728e-10
1943,1.0276676139905509e-06,1.0276676139905509e-06,8.855600459283558e-10,8.855600459283558e-10
1944,1.0400012554003167e-06,1.0400012554003167e-06,9.13089405672553e-10,9.13089405672553e-10
1945,1.0362668214319065e-06,1.0362668214319065e-06,9.169446709858927e-10,9.169446709858927e-10
1946,1.0259037789442767e-06,1.0259037789442767e-06,1.0655901399354256e-09,1.0655901399354256e-09
1947,1.043101333055217e-06,1.043101333055217e-06,1.1591852081390845e-09,1.1591852081390845e-09
1948,1.0311785233950234e-06,1.0311785233950234e-06,1.3434280592734232e-09,1.3434280592734232e-09
1949,9.248407845266879e-07,9.248407845266879e-07,1.5158944734393133e-09,1.5158944734393133e-09
1950,9.338800574758872e-07,9.338800574758872e-07,1.3678277082413664e-09,1.3678277082413664e-09
1951,9.007446237774275e-07,9.007446237774275e-07,1.5708548747487124e-09,1.5708548747487124e-09
1952,8.919961455181433e-07,8.919961455181433e-07,1.6307617954426844e-09,1.6307617954426844e-09
1953,8.786899781755762e-07,8.786899781755762e-07,1.5080541180902328e-09,1.5080541180902328e-09
1954,8.953493144352771e-07,8.953493144352771e-07,1.4338909504196806e-09,1.4338909504196806e-09
1955,9.219948375565374e-07,9.219948375565374e-07,1.3684219868359548e-09,1.3684219868359548e-09
1956,9.291375460764227e-07,9.291375460764227e-07,1.2848754679265335e-09,1.2848754679265335e-09
1957,9.28431323440496e-07,9.28431323440496e-07,1.3747264834432622e-09,1.3747264834432622e-09
1958,9.354898143750948e-07,9.354898143750948e-07,1.2553698160365302e-09,1.2553698160365302e-09
1959,9.416942979052172e-07,9.416942979052172e-07,1.2522554659888385e-09,1.2522554659888385e-09
1960,9.349108966359511e-07,9.349108966359511e-07,1.3702623797533825e-09,1.3702623797533825e-09
1961,9.102381324867435e-07,9.102381324867435e-07,1.432437850874229e-09,1.432437850874229e-09
1962,8.795215730320447e-07,8.795215730320447e-07,1.493147209049742e-09,1.493147209049742e-09
1963,8.955595863621316e-07,8.955595863621316e-07,1.5224799674941535e-09,1.5224799674941535e-09
1964,8.950883950222175e-07,8.950883950222175e-07,1.5681350979639725e-09,1.5681350979639725e-09
1965,8.990684900059673e-07,8.990684900059673e-07,1.7245810811163308e-09,1.7245810811163308e-09
