ngram,Bug,Bugn,Byug,Boug,Brug
1849,2.533237436961956e-07,2.547325525118335e-10,1.8362267064007754e-09,9.863284601761637e-09,4.4770015758136394e-08
1850,2.5775682794509134e-07,2.547325525118335e-10,1.7163383214668926e-09,1.2715895891801665e-08,4.057877614879349e-08
1851,2.4112524345452714e-07,2.3437829058511484e-10,1.8352698448266734e-09,1.5813167664191496e-08,1.223693200103071e-07
1852,2.988027237701577e-07,2.1820109608050586e-10,1.8878614108494165e-09,2.792377326191594e-08,1.2508168849884832e-07
1853,3.4263751404393717e-07,3.1471977801622586e-10,2.0639376081226554e-09,3.639520735581365e-08,1.4792371898814898e-07
1854,3.2775705197504325e-07,1.9350884783442268e-10,1.9932123729304863e-09,3.936468116551493e-08,1.6046825810990738e-07
1855,3.253365211516471e-07,2.460105968144737e-10,1.966981292130957e-09,4.0257250485556794e-08,1.6523752956386163e-07
1856,3.4831668317890164e-07,2.957094014099937e-10,2.0542567012528578e-09,4.232681659134739e-08,1.6781335356240235e-07
1857,3.5978312748089334e-07,3.438436281731429e-10,2.4894576876123763e-09,4.5740721940238216e-08,1.721524383364275e-07
1858,3.4908334457993207e-07,4.1262205953605605e-10,2.534157360147203e-09,4.2412369489446585e-08,9.496285713339603e-08
1859,3.1457411101395595e-07,3.6206048873285313e-10,2.8297140345198304e-09,3.129378584836624e-08,9.606808504258879e-08
1860,2.8534434396273613e-07,2.6554180679713314e-10,3.0153837997965685e-09,2.376869799393587e-08,8.26266811161856e-08
1861,2.9554114787190754e-07,3.785151676221383e-10,3.0572775263796157e-09,2.2505004590048624e-08,8.370837788009209e-08
1862,2.971529389534615e-07,3.8173168990875336e-10,2.7615661662189997e-09,2.2528662110435756e-08,7.610133272757074e-08
1863,3.047218797291862e-07,3.320328853132334e-10,2.7040236716402433e-09,2.1335281478026706e-08,7.279192969024604e-08
1864,3.037971103887165e-07,3.3099378000349995e-10,2.3147934362961156e-09,1.6012460436952225e-08,7.237772793798416e-08
1865,3.5839873849649197e-07,2.6001330453796964e-10,2.217059036357938e-09,1.5560649657686554e-08,6.874926837342952e-08
1866,3.882279884237505e-07,3.04252924441885e-10,1.8456529875849575e-09,1.2629410089155207e-08,6.936269818831014e-08
1867,3.977437513315506e-07,3.9067783928560726e-10,1.6347488045782249e-09,1.196113214823364e-08,6.568682715218139e-08
1868,4.1274406774911246e-07,3.225161764636957e-10,1.3737771475952343e-09,1.0619360692386084e-08,5.800293629525706e-08
1869,4.319796939203765e-07,2.667979051970296e-10,1.2769828290031577e-09,9.142761531981997e-09,5.530150711966339e-08
1870,4.154408860098816e-07,2.667979051970296e-10,1.170504225291223e-09,7.63733159254392e-09,5.438276977948979e-08
1871,4.315228961461669e-07,2.602788460949666e-10,1.0632758641802654e-09,8.719175032772292e-09,5.791975762495635e-08
1872,4.217528117221393e-07,2.570040053789009e-10,1.0124996317552514e-09,9.330240516699665e-09,6.345164292399983e-08
1873,4.1530654064964825e-07,4.468169088690997e-10,9.915761624488896e-10,1.1163206359299238e-08,6.375374742414611e-08
1874,4.175697329498819e-07,4.0013270871267336e-10,8.549953126443402e-10,1.4601369700630227e-08,6.212608332540575e-08
1875,4.1135604484614827e-07,3.954360410547102e-10,8.409053057053687e-10,1.782289389089848e-08,6.218454221392936e-08
