ngram,Lock,Locku,Locc,Lockw
1831,1.937980706705795e-06,3.2989114614626457e-10,7.293828557004239e-10,8.159946686601773e-10
1832,2.1388492866338183e-06,4.1504060505863956e-10,4.761492470147946e-10,6.47910518886923e-10
1833,2.158441036824245e-06,2.605223814455826e-10,6.411057716450484e-10,6.11890538237958e-10
1834,2.2658963254278726e-06,3.435825750892312e-10,6.195953591462252e-10,6.949507318816067e-10
1835,2.269078582425469e-06,3.435825750892312e-10,8.709455696325514e-10,6.949507318816067e-10
1836,2.346603488539196e-06,3.435825750892312e-10,1.0961291081151054e-09,6.997376329158961e-10
1837,2.398298290375221e-06,3.435825750892312e-10,1.3284533314664566e-09,8.367573142312576e-10
1838,2.50416025794818e-06,2.506879148711505e-10,1.03320043790386e-09,7.870505675760293e-10
1839,2.4778025492975886e-06,1.6553845595877548e-10,1.1089818745852703e-09,7.019011086636543e-10
1840,2.47928593515618e-06,8.306019364364862e-11,1.9266428928434364e-09,6.194228463485274e-10
1841,2.4427514030581473e-06,0.0,1.9835379212145607e-09,5.363626527048788e-10
1842,2.396498010576969e-06,6.081543998551605e-11,2.036264918585979e-09,5.363626527048788e-10
1843,2.4291047923595343e-06,6.081543998551605e-11,1.8766559100364636e-09,4.6130147321069414e-10
1844,2.473785083826182e-06,1.2759829700773447e-10,1.711114543707331e-09,4.293258129958336e-10
1845,2.4555066115031617e-06,1.2759829700773447e-10,1.6347887963976048e-09,2.670873284443027e-10
1846,2.33385675788408e-06,1.2759829700773447e-10,2.3416533712072862e-09,2.670873284443027e-10
1847,2.3203628773314577e-06,1.8820376209863606e-10,2.449934247536082e-09,3.276927935352043e-10
1848,2.350549493712606e-06,2.42891437122036e-10,2.309979025521309e-09,3.8238046855860423e-10
1849,2.3275582472186736e-06,1.8207599713651997e-10,2.167120427554181e-09,4.898595418190155e-10
1850,2.268607659061672e-06,2.770158150485916e-10,2.149015806577178e-09,4.898595418190155e-10
1851,2.240459350235012e-06,2.56661553121873e-10,2.5000903173097046e-09,2.8951097868252466e-10
1852,2.2257522037502246e-06,2.56661553121873e-10,2.7528981713257193e-09,2.733337841779157e-10
1853,2.306155465703341e-06,3.53180235057593e-10,2.0667708417703476e-09,3.698524661136357e-10
1854,2.347045015734953e-06,2.925747699666914e-10,9.75872422553132e-10,3.092470010227341e-10
1855,2.3440733392427707e-06,2.378870949432914e-10,1.080875920513234e-09,3.0706107497938516e-10
1856,2.4189643487001637e-06,2.378870949432914e-10,9.693561152181373e-10,2.4928080631449387e-10
1857,2.5054749000576393e-06,1.9108150379436902e-10,1.1625573400778473e-09,2.4928080631449387e-10
1858,2.5377229836262164e-06,1.446529086988692e-10,8.599069987815153e-10,3.6448783277290685e-10
1859,2.6121579139726236e-06,2.055822972175341e-10,7.898873103214957e-10,4.967144275256987e-10
1860,2.7010202887010692e-06,1.0906361528181411e-10,7.54363837269472e-10,4.611909544736749e-10
1861,2.8054099467616263e-06,1.0906361528181411e-10,8.108505176819745e-10,6.871376761236852e-10
1862,2.9651292996797044e-06,1.6478188654848021e-10,7.058470197218725e-10,6.903541984103003e-10
1863,3.0251272684316584e-06,1.6478188654848021e-10,8.470997395601135e-10,6.883932749232205e-10
1864,3.1701664024045125e-06,2.5793302414557825e-10,6.064286057443675e-10,9.238688821902993e-10
1865,3.348849304529722e-06,2.5793302414557825e-10,5.796746812717199e-10,8.971149577176516e-10
1866,3.475009667194432e-06,2.4124325553082874e-10,4.4112613561964054e-10,7.585664120655724e-10
1867,3.461555869372595e-06,2.4124325553082874e-10,4.233433841578054e-10,9.568459477130427e-10
1868,3.535413725330727e-06,2.860549535339223e-10,4.116684017483964e-10,9.997694220117585e-10
1869,3.5735661185753997e-06,3.0950845457995106e-10,4.5125428790474386e-10,1.1419805854919117e-09
1870,3.5989128264191095e-06,4.3621783566269047e-10,5.137215256364616e-10,1.1364791647443845e-09
1871,3.5488768129913036e-06,2.9493247130244326e-10,5.542975879878145e-10,1.1038838731991518e-09
1872,3.5338017434176957e-06,4.996910306166922e-10,7.52506450009603e-10,1.0973341917670204e-09
1873,3.5647000718849346e-06,4.5545141071277687e-10,7.472755826830126e-10,1.3651645924817046e-09
1874,3.8006029561594393e-06,4.951921254000727e-10,7.835445546357431e-10,1.5032970027536611e-09
1875,3.976697241471681e-06,4.5038042739697914e-10,9.794230387034325e-10,2.1971875350880664e-09
1876,4.053199128455682e-06,6.778645303803391e-10,1.0165011213710988e-09,2.38257795239148e-09
1877,4.186411940411615e-06,6.210584943148031e-10,8.679373727663428e-10,2.5850031956256967e-09
1878,4.204047627354157e-06,6.210584943148031e-10,8.2736131041499e-10,2.6361204013320663e-09
1879,4.222011252100596e-06,5.210413727458579e-10,7.501822218980436e-10,2.6589584185237366e-09
1880,4.282843909615102e-06,5.868147396575247e-10,9.41380259459176e-10,2.511321817166845e-09
1881,4.201511306486541e-06,6.4177081506221e-10,1.3353827488238323e-09,1.1772986934539226e-08
1882,4.1016697066100146e-06,7.065899730397871e-10,1.4187883645710997e-09,1.0875045364233671e-08
1883,4.169647809249e-06,5.926698616003684e-10,1.5027375375810591e-09,1.0620216024064583e-08
1884,4.167804068596784e-06,6.142992344962802e-10,1.458904338605801e-09,1.0406065227762186e-08
1885,4.285482970902064e-06,7.013690699648428e-10,1.487927616434475e-09,1.0471323756501758e-08
1886,4.485720442711941e-06,6.518048640507296e-10,1.3887992046062487e-09,1.0642468489807655e-08
1887,4.541349686145882e-06,6.965673712436679e-10,1.213860351520094e-09,1.0726740793228932e-08
1888,4.646317198161601e-06,7.098819508412544e-10,1.0104048451095186e-09,1.283691260432564e-09
1889,4.753211409739119e-06,6.974045824963732e-10,7.124799421078163e-10,1.480581042688302e-09
1890,4.8247985822464604e-06,6.3114726540319e-10,7.289366352588747e-10,1.9085957219428754e-09
1891,4.938231605982375e-06,5.908246511080303e-10,9.239653347981047e-10,2.1853454442880403e-09
1892,5.0186314573303596e-06,6.16112724330772e-10,1.6814474574593824e-09,2.000918890893948e-09
