ngram,Block,Blck,Blok,Blck
1822,6.480500555231369e-07,0.0,3.8221477903301245e-08,0.0
1823,5.264660103421193e-07,0.0,3.8402983539219197e-08,0.0
1824,5.013772416922231e-07,1.3412001667997434e-10,3.213808256027509e-08,1.3412001667997434e-10
1825,5.033324441683362e-07,1.3412001667997434e-10,2.402909541978003e-08,1.3412001667997434e-10
1826,5.302653270129147e-07,6.08112988536342e-10,2.7907738207679145e-08,6.08112988536342e-10
1827,5.526244259661845e-07,6.08112988536342e-10,1.817350599374125e-08,6.08112988536342e-10
1828,5.544759054438535e-07,6.08112988536342e-10,1.5882652518569732e-08,6.08112988536342e-10
1829,8.915177919074527e-07,6.08112988536342e-10,2.2005138719130964e-08,6.08112988536342e-10
1830,8.953823973050541e-07,6.08112988536342e-10,2.2968160318104225e-08,6.08112988536342e-10
1831,9.116357091443206e-07,4.739929718563677e-10,2.46105839120579e-08,4.739929718563677e-10
1832,1.0233299982636318e-06,4.739929718563677e-10,2.7975095002424107e-08,4.739929718563677e-10
1833,1.0008104303389182e-06,1.6495652463025375e-10,2.5595720083109493e-08,1.6495652463025375e-10
1834,1.0228831846299208e-06,1.6495652463025375e-10,2.336630102105021e-08,1.6495652463025375e-10
1835,1.0461546366968832e-06,2.4873992548230765e-10,2.0034021584537853e-08,2.4873992548230765e-10
1836,7.434290734766234e-07,2.4873992548230765e-10,1.5014097933173176e-08,2.4873992548230765e-10
1837,7.517638534539271e-07,6.359469855483318e-10,1.4573404990717416e-08,6.359469855483318e-10
1838,8.038973403147663e-07,6.359469855483318e-10,1.2862187917913762e-08,6.359469855483318e-10
1839,7.007933179790728e-07,7.11728422229742e-10,1.020465581877009e-08,7.11728422229742e-10
1840,7.209667793566561e-07,5.467718975994882e-10,9.084192287289738e-09,5.467718975994882e-10
1841,7.43414042452579e-07,5.467718975994882e-10,9.99907759765709e-09,5.467718975994882e-10
1842,7.842084366010178e-07,5.846193767184665e-10,1.3046640783593538e-08,5.846193767184665e-10
1843,7.774379793902751e-07,6.501939066515052e-10,1.3812065967146379e-08,6.501939066515052e-10
1844,7.868480988041224e-07,3.297697036076995e-10,1.713555487979436e-08,3.297697036076995e-10
1845,7.920500674377504e-07,3.965084689155114e-10,1.6923901201084035e-08,3.965084689155114e-10
1846,8.550497097660679e-07,3.2072703223410114e-10,1.8438243376550645e-08,3.2072703223410114e-10
1847,8.627290932443949e-07,3.8133249732500273e-10,1.9060645379503123e-08,3.8133249732500273e-10
1848,9.101297158459991e-07,4.3602017234840266e-10,1.8151501635088607e-08,4.3602017234840266e-10
1849,1.0016118819424134e-06,3.1438929237737057e-10,1.9790277607155205e-08,3.1438929237737057e-10
1850,1.0819811434105629e-06,3.437545803564035e-10,2.038398935358795e-08,3.437545803564035e-10
1851,1.1411529905152357e-06,4.1625751258576674e-10,1.7926321760342034e-08,4.1625751258576674e-10
1852,1.223565310023592e-06,4.506418888843606e-10,1.731158822642393e-08,4.506418888843606e-10
1853,1.2886754510483506e-06,7.401979505518495e-10,1.9258731371556744e-08,7.401979505518495e-10
1854,1.3661998374508194e-06,8.310980713156977e-10,1.926877032535198e-08,8.310980713156977e-10
1855,1.4691439186468154e-06,8.814138942523999e-10,1.930382418992492e-08,8.814138942523999e-10
1856,1.5021027723248283e-06,1.0802091126344798e-09,1.593802613695873e-08,1.0802091126344798e-09
1857,1.558174663581927e-06,1.1296719750118557e-09,1.7762173065705156e-08,1.1296719750118557e-09
1858,1.6532122962027124e-06,1.105593212218687e-09,1.6273000122016664e-08,1.105593212218687e-09
1859,1.6901038861760753e-06,1.918410866671597e-09,1.672790671060552e-08,1.918410866671597e-09
1860,1.7558318339589668e-06,1.9338308494225895e-09,1.3652729772114673e-08,1.9338308494225895e-09
