ngram,Bayer,Bayr,Bayer,Bayr
1743,3.1510788289779157e-07,9.631393587434495e-09,3.1510788289779157e-07,9.631393587434495e-09
1744,3.255914212526737e-07,1.4095453946895629e-08,3.255914212526737e-07,1.4095453946895629e-08
1745,3.3600179400699357e-07,1.4095453946895629e-08,3.3600179400699357e-07,1.4095453946895629e-08
1746,2.659744536361229e-07,1.4095453946895629e-08,2.659744536361229e-07,1.4095453946895629e-08
1747,2.2604095712657519e-07,1.4095453946895629e-08,2.2604095712657519e-07,1.4095453946895629e-08
1748,1.762085314486025e-07,1.4095453946895629e-08,1.762085314486025e-07,1.4095453946895629e-08
1749,2.434272770658806e-07,1.4095453946895629e-08,2.434272770658806e-07,1.4095453946895629e-08
1750,2.4725561027188245e-07,4.464060359461135e-09,2.4725561027188245e-07,4.464060359461135e-09
1751,2.4456029633159103e-07,0.0,2.4456029633159103e-07,0.0
1752,2.2618379144237872e-07,0.0,2.2618379144237872e-07,0.0
1753,2.064773840158653e-07,0.0,2.064773840158653e-07,0.0
1754,2.734972365406715e-07,0.0,2.734972365406715e-07,0.0
1755,2.852707357955556e-07,0.0,2.852707357955556e-07,0.0
1756,2.650873593016253e-07,0.0,2.650873593016253e-07,0.0
1757,3.1203407096264915e-07,0.0,3.1203407096264915e-07,0.0
1758,3.176643933297133e-07,0.0,3.176643933297133e-07,0.0
1759,3.7122613402321545e-07,0.0,3.7122613402321545e-07,0.0
1760,3.564314583164625e-07,0.0,3.564314583164625e-07,0.0
1761,3.185676631695904e-07,2.7755674584081393e-09,3.185676631695904e-07,2.7755674584081393e-09
1762,3.138847602152899e-07,2.7755674584081393e-09,3.138847602152899e-07,2.7755674584081393e-09
1763,2.548332506283454e-07,2.7755674584081393e-09,2.548332506283454e-07,2.7755674584081393e-09
1764,1.9884881703140828e-07,2.7755674584081393e-09,1.9884881703140828e-07,2.7755674584081393e-09
1765,1.764550192311682e-07,2.7755674584081393e-09,1.764550192311682e-07,2.7755674584081393e-09
1766,1.1020243257624835e-07,2.7755674584081393e-09,1.1020243257624835e-07,2.7755674584081393e-09
1767,1.519917352611953e-07,2.7755674584081393e-09,1.519917352611953e-07,2.7755674584081393e-09
1768,1.6132026000751205e-07,0.0,1.6132026000751205e-07,0.0
1769,1.6582122950938226e-07,0.0,1.6582122950938226e-07,0.0
1770,2.3532107919420143e-07,2.8829215839972935e-09,2.3532107919420143e-07,2.8829215839972935e-09
1771,2.3443090008916962e-07,2.8829215839972935e-09,2.3443090008916962e-07,2.8829215839972935e-09
1772,2.990876417641175e-07,2.8829215839972935e-09,2.990876417641175e-07,2.8829215839972935e-09
1773,3.312134008329589e-07,2.8829215839972935e-09,3.312134008329589e-07,2.8829215839972935e-09
1774,3.0280860637991023e-07,2.8829215839972935e-09,3.0280860637991023e-07,2.8829215839972935e-09
1775,2.980655955704086e-07,2.8829215839972935e-09,2.980655955704086e-07,2.8829215839972935e-09
1776,3.126703629975834e-07,2.8829215839972935e-09,3.126703629975834e-07,2.8829215839972935e-09
1777,2.3789004391768946e-07,0.0,2.3789004391768946e-07,0.0
1778,5.417771973270646e-07,0.0,5.417771973270646e-07,0.0
1779,4.960710506501138e-07,0.0,4.960710506501138e-07,0.0
1780,4.782854493409364e-07,0.0,4.782854493409364e-07,0.0
1781,4.787033763672557e-07,0.0,4.787033763672557e-07,0.0
1782,5.490235577911205e-07,2.1581334814462546e-09,5.490235577911205e-07,2.1581334814462546e-09
1783,7.388220016732053e-07,2.1581334814462546e-09,7.388220016732053e-07,2.1581334814462546e-09
1784,7.658435521307183e-07,2.1581334814462546e-09,7.658435521307183e-07,2.1581334814462546e-09
1785,5.021912171189667e-07,2.1581334814462546e-09,5.021912171189667e-07,2.1581334814462546e-09
1786,5.103138391859829e-07,2.1581334814462546e-09,5.103138391859829e-07,2.1581334814462546e-09
1787,5.948811881190912e-07,3.447275100297377e-09,5.948811881190912e-07,3.447275100297377e-09
1788,6.502294890456792e-07,3.447275100297377e-09,6.502294890456792e-07,3.447275100297377e-09
1789,5.77898902065499e-07,1.2891416188511228e-09,5.77898902065499e-07,1.2891416188511228e-09
1790,3.77046816879556e-07,1.2891416188511228e-09,3.77046816879556e-07,1.2891416188511228e-09
1791,3.853894615498835e-07,1.2891416188511228e-09,3.853894615498835e-07,1.2891416188511228e-09
1792,3.864045266612136e-07,1.2891416188511228e-09,3.864045266612136e-07,1.2891416188511228e-09
1793,4.0966106951145775e-07,1.2891416188511228e-09,4.0966106951145775e-07,1.2891416188511228e-09
1794,3.528527514617963e-07,2.993956574722948e-09,3.528527514617963e-07,2.993956574722948e-09
1795,3.340888810043907e-07,3.90722869931486e-09,3.340888810043907e-07,3.90722869931486e-09
1796,3.4297731182115445e-07,5.803551924746639e-09,3.4297731182115445e-07,5.803551924746639e-09
1797,3.6104492551203293e-07,6.3704755756280716e-09,3.6104492551203293e-07,6.3704755756280716e-09
1798,3.353940586846095e-07,6.3704755756280716e-09,3.353940586846095e-07,6.3704755756280716e-09
1799,3.4826715225985285e-07,6.971245168431648e-09,3.4826715225985285e-07,6.971245168431648e-09
1800,3.301957970539401e-07,6.971245168431648e-09,3.301957970539401e-07,6.971245168431648e-09
1801,3.124053153312291e-07,3.977288593708701e-09,3.124053153312291e-07,3.977288593708701e-09
1802,3.0097664957143676e-07,6.102903959970263e-09,3.0097664957143676e-07,6.102903959970263e-09
1803,2.805225948675018e-07,4.206580734538485e-09,2.805225948675018e-07,4.206580734538485e-09
1804,3.2451810990811024e-07,4.859967285751412e-09,3.2451810990811024e-07,4.859967285751412e-09
1805,3.3189518384395864e-07,5.1196447874752545e-09,3.3189518384395864e-07,5.1196447874752545e-09
1806,3.56911371568458e-07,5.035975398597665e-09,3.56911371568458e-07,5.035975398597665e-09
1807,3.530338099316006e-07,5.245196626242026e-09,3.530338099316006e-07,5.245196626242026e-09
1808,3.609932873262421e-07,5.245196626242026e-09,3.609932873262421e-07,5.245196626242026e-09
1809,3.5977246121936854e-07,2.206309135388551e-09,3.5977246121936854e-07,2.206309135388551e-09
1810,3.609098005849124e-07,2.206309135388551e-09,3.609098005849124e-07,2.206309135388551e-09
1811,3.185032133907433e-07,2.3923025782579543e-09,3.185032133907433e-07,2.3923025782579543e-09
1812,3.4984154037179647e-07,2.1326250765341115e-09,3.4984154037179647e-07,2.1326250765341115e-09
1813,2.8236851993109925e-07,2.3914424884807772e-09,2.8236851993109925e-07,2.3914424884807772e-09
1814,2.651834388903548e-07,5.316593260878173e-09,2.651834388903548e-07,5.316593260878173e-09
1815,2.4330267324655453e-07,5.316593260878173e-09,2.4330267324655453e-07,5.316593260878173e-09
1816,2.3675572841901677e-07,5.316593260878173e-09,2.3675572841901677e-07,5.316593260878173e-09
1817,2.3621682032626268e-07,5.316593260878173e-09,2.3621682032626268e-07,5.316593260878173e-09
1818,2.260653632544875e-07,4.089324482211712e-09,2.260653632544875e-07,4.089324482211712e-09
1819,1.8243475251113394e-07,4.089324482211712e-09,1.8243475251113394e-07,4.089324482211712e-09
1820,1.9415982827857598e-07,4.4925823537513205e-09,1.9415982827857598e-07,4.4925823537513205e-09
1821,1.9572829452434754e-07,1.486764608252652e-09,1.9572829452434754e-07,1.486764608252652e-09
1822,1.917642750624639e-07,1.486764608252652e-09,1.917642750624639e-07,1.486764608252652e-09
1823,1.9177143327299616e-07,2.1890784343955463e-09,1.9177143327299616e-07,2.1890784343955463e-09
1824,2.0466729060737115e-07,2.1890784343955463e-09,2.0466729060737115e-07,2.1890784343955463e-09
1825,2.0968000110802416e-07,2.1366603724410585e-09,2.0968000110802416e-07,2.1366603724410585e-09
1826,2.301070389470234e-07,2.3736568583692427e-09,2.301070389470234e-07,2.3736568583692427e-09
1827,2.163489907859782e-07,2.031046220096755e-09,2.163489907859782e-07,2.031046220096755e-09
