ngram,PG,PG,PE,PE
1655,4.300008121000636e-08,4.300008121000636e-08,5.107780550263539e-07,5.107780550263539e-07
1656,4.300008121000636e-08,4.300008121000636e-08,4.778576112585142e-07,4.778576112585142e-07
1657,4.300008121000636e-08,4.300008121000636e-08,6.16879771899091e-07,6.16879771899091e-07
1658,0.0,0.0,6.16879771899091e-07,6.16879771899091e-07
1659,0.0,0.0,6.25542745475676e-07,6.25542745475676e-07
1660,0.0,0.0,2.4866386232653373e-07,2.4866386232653373e-07
1661,0.0,0.0,3.830346802910104e-07,3.830346802910104e-07
1662,0.0,0.0,3.830346802910104e-07,3.830346802910104e-07
1663,0.0,0.0,4.034223276708612e-07,4.034223276708612e-07
1664,0.0,0.0,3.037031482173396e-07,3.037031482173396e-07
1665,0.0,0.0,4.800696160600637e-07,4.800696160600637e-07
1666,7.989679521155527e-08,7.989679521155527e-08,1.4144452060398699e-06,1.4144452060398699e-06
1667,1.123491110937331e-07,1.123491110937331e-07,1.4468975219220477e-06,1.4468975219220477e-06
1668,1.123491110937331e-07,1.123491110937331e-07,1.312526703957571e-06,1.312526703957571e-06
1669,1.123491110937331e-07,1.123491110937331e-07,1.312526703957571e-06,1.312526703957571e-06
1670,1.123491110937331e-07,1.123491110937331e-07,1.3241300617242554e-06,1.3241300617242554e-06
1671,1.9056949643722225e-07,1.9056949643722225e-07,1.3630474658806894e-06,1.3630474658806894e-06
1672,1.9056949643722225e-07,1.9056949643722225e-07,1.30968400112254e-06,1.30968400112254e-06
1673,1.1067270122566697e-07,1.1067270122566697e-07,3.6045978138840186e-07,3.6045978138840186e-07
1674,1.1075090964953103e-07,1.1075090964953103e-07,3.6053798981226593e-07,3.6053798981226593e-07
1675,1.1075090964953103e-07,1.1075090964953103e-07,3.6053798981226593e-07,3.6053798981226593e-07
1676,1.1075090964953103e-07,1.1075090964953103e-07,4.034845001602402e-07,4.034845001602402e-07
1677,1.1075090964953103e-07,1.1075090964953103e-07,3.933585596931672e-07,3.933585596931672e-07
1678,3.2530524306041893e-08,3.2530524306041893e-08,3.350567457768453e-07,3.350567457768453e-07
1679,3.2530524306041893e-08,3.2530524306041893e-08,3.7355612749122103e-07,3.7355612749122103e-07
1680,3.2530524306041893e-08,3.2530524306041893e-08,5.050896833479004e-07,5.050896833479004e-07
1681,0.0,0.0,5.173108539630838e-07,5.173108539630838e-07
1682,2.016103297007378e-08,2.016103297007378e-08,5.576329199032313e-07,5.576329199032313e-07
1683,2.016103297007378e-08,2.016103297007378e-08,6.029553227498192e-07,6.029553227498192e-07
1684,4.938261253885555e-08,4.938261253885555e-08,7.403339858618503e-07,7.403339858618503e-07
1685,4.938261253885555e-08,4.938261253885555e-08,7.406212461091854e-07,7.406212461091854e-07
1686,4.938261253885555e-08,4.938261253885555e-08,5.791188613102349e-07,5.791188613102349e-07
1687,9.058270222794818e-08,9.058270222794818e-08,5.216998297490656e-07,5.216998297490656e-07
1688,9.058270222794818e-08,9.058270222794818e-08,6.633144481936272e-07,6.633144481936272e-07
1689,7.042166925787439e-08,7.042166925787439e-08,6.545635520589193e-07,6.545635520589193e-07
1690,7.042166925787439e-08,7.042166925787439e-08,5.870649297483916e-07,5.870649297483916e-07
1691,4.1200089689092627e-08,4.1200089689092627e-08,4.3144597684983766e-07,4.3144597684983766e-07
1692,4.1200089689092627e-08,4.1200089689092627e-08,5.532484205364849e-07,5.532484205364849e-07
1693,4.1200089689092627e-08,4.1200089689092627e-08,5.845996144314216e-07,5.845996144314216e-07
1694,0.0,0.0,5.829271023977916e-07,5.829271023977916e-07
1695,0.0,0.0,4.275743959526933e-07,4.275743959526933e-07
1696,0.0,0.0,4.589870091617091e-07,4.589870091617091e-07
1697,0.0,0.0,4.4556379309921924e-07,4.4556379309921924e-07
1698,2.0742541145019848e-08,2.0742541145019848e-08,4.173742281311986e-07,4.173742281311986e-07
1699,2.0742541145019848e-08,2.0742541145019848e-08,3.4071365462295944e-07,3.4071365462295944e-07
1700,2.0742541145019848e-08,2.0742541145019848e-08,3.3535816612584313e-07,3.3535816612584313e-07
1701,7.874309712211211e-08,7.874309712211211e-08,3.9709884041323154e-07,3.9709884041323154e-07
1702,1.0271341669262516e-07,1.0271341669262516e-07,3.6608523349254287e-07,3.6608523349254287e-07
1703,1.0271341669262516e-07,1.0271341669262516e-07,3.5830749871885406e-07,3.5830749871885406e-07
1704,1.1137518336162039e-07,1.1137518336162039e-07,3.6828395723529995e-07,3.6828395723529995e-07
1705,9.063264221660055e-08,9.063264221660055e-08,3.841726347835512e-07,3.841726347835512e-07
1706,1.6816032553736348e-07,1.6816032553736348e-07,3.6312646451668637e-07,3.6312646451668637e-07
1707,1.6816032553736348e-07,1.6816032553736348e-07,4.22197926143651e-07,4.22197926143651e-07
1708,1.1015976956027121e-07,1.1015976956027121e-07,3.253423029393941e-07,3.253423029393941e-07
1709,1.1023948230461298e-07,1.1023948230461298e-07,3.373673190968215e-07,3.373673190968215e-07
1710,1.2745450561624239e-07,1.2745450561624239e-07,5.748166570031441e-07,5.748166570031441e-07
1711,1.1879273894724715e-07,1.1879273894724715e-07,5.962624385347226e-07,5.962624385347226e-07
1712,1.1879273894724715e-07,1.1879273894724715e-07,6.791288354536716e-07,6.791288354536716e-07
1713,6.290108599062347e-08,6.290108599062347e-08,7.321894425363748e-07,7.321894425363748e-07
1714,7.247269654239322e-08,7.247269654239322e-08,8.09839647786248e-07,8.09839647786248e-07
1715,7.247269654239322e-08,7.247269654239322e-08,7.456715504109265e-07,7.456715504109265e-07
1716,4.8422664227538396e-08,4.8422664227538396e-08,8.576159485431032e-07,8.576159485431032e-07
1717,3.1207640915908996e-08,3.1207640915908996e-08,6.108089942407397e-07,6.108089942407397e-07
1718,4.669115380043617e-08,4.669115380043617e-08,6.262319739594854e-07,6.262319739594854e-07
