ngram,SSE,SE,SS,SE
1805,2.52067813859875e-07,2.3254044906804794e-06,1.1786885352194076e-06,2.3254044906804794e-06
1806,2.4291909804320865e-07,2.0345146286412534e-06,1.1110257024224017e-06,2.0345146286412534e-06
1807,3.379190925808676e-07,2.337317052284301e-06,1.1209242854550081e-06,2.337317052284301e-06
1808,2.885785868045332e-07,2.1747431852808016e-06,1.0767681796356295e-06,2.1747431852808016e-06
1809,2.719054822567354e-07,2.445810772704655e-06,1.0353072557986058e-06,2.445810772704655e-06
1810,2.54506624283327e-07,2.274764361637998e-06,1.0474444788347422e-06,2.274764361637998e-06
1811,1.5821742113278754e-07,1.7239471828491202e-06,1.0624233043797306e-06,1.7239471828491202e-06
1812,1.7207859391378732e-07,1.8573924275447747e-06,1.1332431069734281e-06,1.8573924275447747e-06
1813,2.243265644352732e-07,2.109986488514031e-06,1.1608280163142939e-06,2.109986488514031e-06
1814,1.863846461296654e-07,1.9236297248426126e-06,1.1027374528436797e-06,1.9236297248426126e-06
1815,1.9997183515434764e-07,2.0599459276127163e-06,1.0994211347029444e-06,2.0599459276127163e-06
1816,2.0183302470603133e-07,1.819367737100817e-06,1.0926188776595933e-06,1.819367737100817e-06
1817,2.3760893773174173e-07,1.8217835661614248e-06,1.0206434808424092e-06,1.8217835661614248e-06
1818,2.431296449247254e-07,1.7975314514322754e-06,1.1020445234472781e-06,1.7975314514322754e-06
1819,2.482043472338903e-07,1.8391632628273719e-06,1.238779369876803e-06,1.8391632628273719e-06
1820,2.7980585721414694e-07,1.9942299656707163e-06,1.239629373880494e-06,1.9942299656707163e-06
1821,2.394078322254245e-07,1.9271586617313526e-06,1.2772981433174988e-06,1.9271586617313526e-06
1822,2.220746121598235e-07,1.6939794867149821e-06,1.2781850549410073e-06,1.6939794867149821e-06
1823,2.399794222388404e-07,1.6739877537474968e-06,1.3549254893925017e-06,1.6739877537474968e-06
1824,2.7210234065933037e-07,1.834368309313764e-06,1.3592609369490155e-06,1.834368309313764e-06
1825,2.8684565275430683e-07,1.901141932389042e-06,1.307444782534211e-06,1.901141932389042e-06
1826,2.6432984080924727e-07,1.6818545174958542e-06,1.3209066033985955e-06,1.6818545174958542e-06
1827,1.7659872269299675e-07,1.2697651966066457e-06,1.290881755267037e-06,1.2697651966066457e-06
1828,1.6882432239486077e-07,1.153332253319864e-06,1.2808983862149553e-06,1.153332253319864e-06
1829,1.721330864512538e-07,1.2791525948939255e-06,1.694056322776305e-06,1.2791525948939255e-06
1830,1.6914946066037828e-07,1.3221593998683342e-06,1.6551240378248622e-06,1.3221593998683342e-06
1831,8.620227998079599e-08,9.98885135621614e-07,1.650230940088347e-06,9.98885135621614e-07
1832,6.753325251399442e-08,8.873252324649781e-07,1.5898993979135412e-06,8.873252324649781e-07
1833,6.977163190059952e-08,8.999020256591653e-07,1.4061522181561616e-06,8.999020256591653e-07
1834,7.243978280716387e-08,8.938961773960077e-07,1.451313591717605e-06,8.938961773960077e-07
1835,6.641727358567908e-08,8.612938618820667e-07,1.4651926026739863e-06,8.612938618820667e-07
1836,6.619800821791192e-08,7.414157283035041e-07,1.0910165266458144e-06,7.414157283035041e-07
1837,4.662640089898267e-08,6.016668651552339e-07,1.0632668201131828e-06,6.016668651552339e-07
1838,5.238451348889482e-08,6.286606679038544e-07,1.11306084298641e-06,6.286606679038544e-07
1839,5.4226190268228236e-08,6.565088678403949e-07,1.2057736447396955e-06,6.565088678403949e-07
1840,6.013453430447108e-08,7.061194976034e-07,1.2946644249365948e-06,7.061194976034e-07
1841,5.6643275974417e-08,7.242259373794826e-07,1.3454539222428657e-06,7.242259373794826e-07
1842,7.588422791725082e-08,8.475854948691059e-07,1.4623857233735699e-06,8.475854948691059e-07
1843,8.069663439057098e-08,9.079245647366665e-07,1.6032325577595787e-06,9.079245647366665e-07
1844,7.324211637182998e-08,9.030263510924539e-07,1.7182865609096813e-06,9.030263510924539e-07
1845,7.300795752079076e-08,9.137909192499397e-07,1.7893344842637556e-06,9.137909192499397e-07
1846,8.01920556625646e-08,8.872756081603126e-07,1.7679105569966071e-06,8.872756081603126e-07
